epoch,accuracy,loss,val_accuracy,val_loss
0,0.54068965,0.9058454447779162,0.4269006,1.0968331609453474
1,0.7462069,0.6138797751788435,0.4269006,1.0961197444370814
2,0.74482757,0.6037501672218586,0.4269006,1.0949880395616804
3,0.7765517,0.5654597621539543,0.4269006,1.0940610000065394
4,0.79310346,0.5210089919895962,0.4269006,1.093668852533613
5,0.8013793,0.5012811710094583,0.4269006,1.0923581974846976
6,0.83034486,0.4175188325602433,0.4269006,1.0917748723711287
7,0.8468965,0.38519115694637956,0.4269006,1.0910216569900513
8,0.8689655,0.36551876186296856,0.4269006,1.0897261926106043
9,0.8965517,0.31647019242418223,0.4269006,1.0889529841286796
10,0.8924138,0.2955928858498047,0.35380116,1.0876683507646834
11,0.91034484,0.2812722587379916,0.35380116,1.087001153400966
12,0.9186207,0.26270671265906304,0.35380116,1.0856708117893763
13,0.92551726,0.22817345991216856,0.35380116,1.0840763705117362
14,0.9296552,0.213649052869657,0.35380116,1.0831994329180037
15,0.93655175,0.18794235484353428,0.35380116,1.0809667280742101
16,0.96,0.15266581597448936,0.35380116,1.0814128262656075
17,0.9641379,0.12844304207327037,0.35380116,1.081241318157741
18,0.9531034,0.1426091199933455,0.35380116,1.0808878966740199
19,0.96827585,0.12619328588761133,0.35380116,1.082722544670105
20,0.9641379,0.12511939863706456,0.35380116,1.0820586851664953
21,0.9475862,0.15686300056504793,0.35380116,1.0843347311019897
22,0.9848276,0.08270414655321631,0.35380116,1.0865445988518851
23,0.977931,0.07942922032791479,0.35380116,1.0854779141289848
24,0.9737931,0.10302980488230443,0.35380116,1.0845609222139632
25,0.96965516,0.12414096771129246,0.35380116,1.0844558903149195
26,0.9862069,0.0726659821731777,0.35380116,1.0893551877566747
27,0.977931,0.08033562880330558,0.35380116,1.0915751797812325
28,0.9862069,0.06952006652437408,0.35380116,1.097781479358673
29,0.9765517,0.0815327228849818,0.35380116,1.1032290714127677
30,0.99172413,0.04026983922010224,0.35380116,1.1028941529137748
31,0.99172413,0.049969533586810375,0.35380116,1.111295291355678
32,0.99172413,0.03840981097891927,0.35380116,1.117312720843724
33,0.9875862,0.04485807018675681,0.35380116,1.1170568295887537
34,0.9903448,0.03746384767622783,0.35380116,1.121632959161486
35,0.9875862,0.050869688945661844,0.35380116,1.1300896576472692
36,0.9848276,0.04655614575563834,0.35380116,1.1313059670584542
37,0.99448276,0.038866861402217685,0.35380116,1.1360778978892736
38,0.9848276,0.0545718295194594,0.35380116,1.1423064470291138
39,0.9724138,0.09828743320921886,0.35380116,1.1592118058885847
