epoch,accuracy,loss,val_accuracy,val_loss
0,0.36689654,1.1329375094380871,0.35380116,1.1886202692985535
1,0.41655174,1.081316068254668,0.35380116,1.1682140912328447
2,0.44275862,1.0628499820314605,0.35672516,1.1530177252633231
3,0.49793103,1.0293960365755805,0.3625731,1.1347062843186515
4,0.5075862,1.0114013860965598,0.39473686,1.1174727763448442
5,0.5710345,0.9686667055919252,0.41520467,1.0986561349460058
6,0.5737931,0.9455621283629845,0.41520467,1.0819228376661028
7,0.6165517,0.9092838887510628,0.44152048,1.0714097704206194
8,0.6193103,0.8821929980968607,0.4619883,1.0466131227357047
9,0.6317241,0.8681830023897106,0.4649123,1.043982548373086
10,0.6262069,0.8512472592551132,0.54385966,1.0173538156918116
11,0.63586205,0.8225900756901708,0.54385966,1.0075989876474654
12,0.63586205,0.8235674459358742,0.5555556,1.0055642298289709
13,0.64827585,0.7976725800284024,0.55263156,0.9922206146376473
14,0.6524138,0.7820659279823303,0.5643275,0.9790967362267631
15,0.657931,0.7772593662656587,0.55847955,0.9722236735480172
16,0.6689655,0.7650918035671629,0.5614035,0.9650666628565107
17,0.6648276,0.7555152033937389,0.5614035,0.9644796507699149
18,0.6648276,0.7309550766287178,0.55847955,0.9563954217093331
19,0.65931034,0.7405699820354067,0.55847955,0.9380336659295219
20,0.6703448,0.7412363393553372,0.5497076,0.9374566503933498
21,0.6662069,0.7129310492811531,0.55263156,0.9334698574883598
22,0.6827586,0.7140613013300402,0.5643275,0.9340981500489371
23,0.6675862,0.7040476963437837,0.5760234,0.9262064695358276
24,0.67310345,0.7024646339745357,0.57309943,0.92149076291493
25,0.68689656,0.6877067993427145,0.55847955,0.9120265926633563
26,0.68413794,0.6829203285019974,0.57894737,0.9119529383523124
27,0.6703448,0.6954034731305879,0.5701754,0.9031119474342891
28,0.67310345,0.6904630804884022,0.56725144,0.898860731295177
29,0.6827586,0.6785822099652784,0.55847955,0.9000131658145359
30,0.7227586,0.622582470548564,0.6052632,0.8743379456656319
31,0.7034483,0.6097408348116381,0.6023392,0.8640309316771371
32,0.702069,0.5989388289122746,0.61988306,0.8536749056407383
33,0.7268965,0.5511284655538099,0.6315789,0.8471335896423885
34,0.7268965,0.5404849052429199,0.62865496,0.8393892049789429
35,0.72965515,0.5100793951544268,0.6374269,0.8307776578835079
36,0.7475862,0.4859977539243369,0.6315789,0.8250285472188678
37,0.74068964,0.48633724348298435,0.6520468,0.8182751344782966
38,0.7503448,0.4607923010299946,0.64912283,0.8069966627018792
39,0.7586207,0.4554551439038638,0.65789473,0.800268679857254
40,0.76965517,0.4263635740197938,0.65789473,0.7953227843557086
41,0.78068966,0.4139603890221694,0.65789473,0.7927024364471436
42,0.8082759,0.41606613377044943,0.65789473,0.7852654435804912
43,0.83862066,0.38490802203786784,0.66374266,0.7859183890478951
44,0.8565517,0.3583935175476403,0.6725146,0.7801998108625412
45,0.88,0.34529255998545677,0.68421054,0.7773036743913379
46,0.8896552,0.3311727935897893,0.69298244,0.7597061693668365
47,0.92,0.2939311147763811,0.6988304,0.75147531075137
48,0.9296552,0.2882492398393565,0.69005847,0.7575976252555847
49,0.92551726,0.2713854857559862,0.69005847,0.752242240522589
