epoch,accuracy,loss,val_accuracy,val_loss
0,0.4524138,1.0391411000284656,0.4385965,1.0829156977789742
1,0.56827587,1.0214025213800628,0.5877193,1.0372683491025652
2,0.56827587,0.9427295368293236,0.8391813,0.9909636548587254
3,0.62206894,0.8893588020883757,0.7865497,0.9659852811268398
4,0.6551724,0.8550484385983698,0.8245614,0.9232780507632664
5,0.72827584,0.7854480435108316,0.75438595,0.8975447842053005
6,0.7765517,0.7458137438215059,0.91812867,0.8225104297910418
7,0.7834483,0.6766900707935465,0.9239766,0.7856450847217015
8,0.80689657,0.6319500639520842,0.88011694,0.7517971311296735
9,0.81793106,0.6006963304404555,0.9093567,0.7153204083442688
10,0.83172417,0.575388949492882,0.92690057,0.6785738127572196
11,0.8441379,0.5364117108542343,0.9239766,0.6547720560005733
12,0.84827584,0.515408229211281,0.9152047,0.6224229889256614
13,0.84965515,0.48361503050245086,0.90643275,0.6195868977478572
14,0.83586204,0.49200883610495205,0.93274856,0.5771981222288949
15,0.8675862,0.4541118884908742,0.9298246,0.5531111189297268
16,0.87310344,0.4228487281963743,0.9298246,0.5279326694352287
17,0.8772414,0.40060986321547937,0.93274856,0.5256798480238233
18,0.8662069,0.39749726344799174,0.93274856,0.5019392456327166
19,0.8565517,0.3983558416366577,0.9356725,0.4846572961126055
20,0.8344827,0.43368130922317505,0.9356725,0.4819156229496002
21,0.87586206,0.38225837925384787,0.92690057,0.473558817590986
22,0.8689655,0.3718619356895315,0.9239766,0.4672132304736546
23,0.89793104,0.33656792496812754,0.93274856,0.4578145572117397
24,0.92413795,0.3041291791817238,0.93274856,0.44915911129542757
25,0.9062069,0.31235766410827637,0.9298246,0.4380114419119699
26,0.92275864,0.29119372470625515,0.9356725,0.42927067620413645
27,0.9324138,0.2614924357882861,0.9356725,0.41618634121758596
28,0.9337931,0.27504268134462423,0.94152045,0.4015196604388101
29,0.94620687,0.2391759753227234,0.9356725,0.3888238455568041
30,0.9517241,0.2315979625644355,0.9356725,0.3814885573727744
31,0.9475862,0.21813307034558263,0.9385965,0.3761985514845167
32,0.95586205,0.21499786191973194,0.9356725,0.3708403408527374
33,0.95586205,0.2154817858646656,0.9356725,0.36101034709385466
34,0.9613793,0.18303889524320077,0.9356725,0.36001027056149076
35,0.96965516,0.185997162913454,0.93274856,0.3534828339304243
36,0.9765517,0.17102973779727673,0.9356725,0.3514204280717032
37,0.96965516,0.1699681626311664,0.93274856,0.34512059816292356
38,0.9737931,0.17073468761197452,0.93274856,0.33883033267089296
39,0.98344827,0.14912234966097207,0.93274856,0.33859865367412567
