epoch,accuracy,loss,val_accuracy,val_loss
0,0.39310345,1.1334748021487533,0.26608187,1.148102581501007
1,0.48551723,1.0338569776765232,0.32163742,1.115775465965271
2,0.5324138,0.9875005134220781,0.4093567,1.0779697043555123
3,0.5986207,0.9227496591107599,0.45321637,1.0552145668438502
4,0.6317241,0.8744888716730578,0.5233918,1.025417115007128
5,0.6413793,0.8394603194861576,0.5409357,1.0098249912261963
6,0.6524138,0.8161657966416458,0.59356725,0.9800573331969125
7,0.6910345,0.7659926763896284,0.5906433,0.969549400465829
8,0.7034483,0.7461412343485602,0.61403507,0.9445909261703491
9,0.72,0.715591297067445,0.61988306,0.9356780563082013
10,0.7586207,0.6741134195492186,0.6374269,0.9174318569047111
11,0.76,0.6543824302739111,0.6520468,0.8970109479767936
12,0.76827586,0.6407492818503544,0.6666667,0.8796416776520866
13,0.7848276,0.616909945833272,0.66959065,0.8651200447763715
14,0.7889655,0.6138238670497105,0.67836255,0.8433495078768048
15,0.8013793,0.5821681639243816,0.69590646,0.8301786695207868
16,0.7958621,0.5679381489753723,0.69590646,0.822149898324694
17,0.8013793,0.5516804806117354,0.7017544,0.8115453975541251
18,0.8248276,0.5164124462111243,0.71929824,0.7936214293752398
19,0.81793106,0.5272267830782923,0.7251462,0.7838941642216274
20,0.8110345,0.542192777682995,0.76900584,0.7416906356811523
21,0.8441379,0.4671643951843525,0.7748538,0.7123134051050458
22,0.8827586,0.42134999458132116,0.78070176,0.6853283217975071
23,0.86068964,0.42120324845971735,0.7894737,0.6628157837050301
24,0.9034483,0.3589291069014319,0.7894737,0.6402485157762255
25,0.91172415,0.3352296342109812,0.7923977,0.6280517407826015
26,0.92,0.31691977124789666,0.80701756,0.6090278327465057
27,0.93517244,0.2811988489381198,0.80994153,0.5910818874835968
28,0.9324138,0.2719996103952671,0.81578946,0.5789958366325924
29,0.9393104,0.2618394509471696,0.8187134,0.5665760551180158
30,0.9434483,0.2452180660490332,0.8245614,0.5547938644886017
31,0.95724136,0.21293001056745134,0.8245614,0.5484011726719993
32,0.9627586,0.20698072119005795,0.8274854,0.5390436393874032
33,0.96689653,0.17908292623429461,0.8274854,0.5314345487526485
34,0.95724136,0.20427152154774503,0.8245614,0.5316639691591263
35,0.9724138,0.15168265741446924,0.82163745,0.5257553649800164
36,0.9737931,0.15923303314324083,0.81578946,0.5262539365461895
37,0.98344827,0.13961688146508974,0.8245614,0.5135158151388168
38,0.98344827,0.12876192043567525,0.8274854,0.5102180157388959
39,0.9903448,0.12935513848888464,0.8128655,0.5133443155458995
