epoch,accuracy,loss,val_accuracy,val_loss
0,0.27448276,1.3368876638083622,0.25730994,1.252065965107509
1,0.32551724,1.2324514841211254,0.28947368,1.2013024176870073
2,0.33655173,1.19104671889338,0.3128655,1.1723206894738334
3,0.36551723,1.1348323822021484,0.3362573,1.1504931620189123
4,0.43310344,1.0963116020991885,0.35672516,1.131445118359157
5,0.43448275,1.0620001965555652,0.374269,1.110684641769954
6,0.47310343,1.0329034369567345,0.38011697,1.0890198605401176
7,0.48551723,1.0157556451600174,0.39473686,1.0728578993252345
8,0.51862067,0.9776256351635374,0.41520467,1.059662503855569
9,0.51862067,0.9517279534504332,0.4239766,1.0444981796400887
10,0.55586207,0.9106182908189708,0.4239766,1.031052018914904
11,0.5737931,0.8948044489169943,0.44444445,1.0200004492487227
12,0.5944828,0.8694966949265579,0.4619883,1.0039591533797128
13,0.5986207,0.8726135286791571,0.4649123,0.9943418843405587
14,0.62068963,0.8343225142051434,0.4853801,0.9806433660643441
15,0.6289655,0.8216729554636725,0.49415204,0.9684217912810189
16,0.63586205,0.8129341047385643,0.5146199,0.9574571762766156
17,0.6772414,0.7833325307944725,0.5146199,0.949173356805529
18,0.6951724,0.7695968870458931,0.5409357,0.9358590245246887
19,0.6758621,0.761545912972812,0.55263156,0.924579782145364
20,0.7034483,0.7080779322262468,0.6315789,0.8650576557431903
21,0.8013793,0.5674906907410457,0.65789473,0.8189175384385246
22,0.8413793,0.4997549827756553,0.69298244,0.7825466649872916
23,0.85103446,0.45880432683846045,0.7134503,0.752130252974374
24,0.88,0.40548596916527585,0.7222222,0.7235733398369381
25,0.8965517,0.3753122815798069,0.73099416,0.6982826931135995
26,0.89931035,0.3498755323475805,0.73976606,0.6778637894562313
27,0.92551726,0.2903232666952857,0.748538,0.6621729263237545
28,0.92275864,0.29465447314854326,0.7573099,0.6475292869976589
29,0.9282759,0.2778675643534496,0.76608187,0.6372230776718685
30,0.9489655,0.23689558768066868,0.7573099,0.6281762634004865
31,0.95448273,0.21925837572278647,0.76900584,0.6127910103116717
32,0.9475862,0.21041289126050883,0.76023394,0.6043601632118225
33,0.9655172,0.17129248354969354,0.76608187,0.5975638095821653
34,0.9655172,0.18092237823996052,0.76608187,0.6011868310826165
35,0.97931033,0.14195149828647746,0.7748538,0.5828416858400617
36,0.97103447,0.1492880017592989,0.7923977,0.5538577735424042
37,0.96827585,0.15424685719712028,0.79532164,0.5423595607280731
38,0.97931033,0.12610724799591919,0.7894737,0.5439846856253487
39,0.98068964,0.12852348644157935,0.7982456,0.5329164607184274
